Type_H,Type_L,Type_M,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],temperature_difference,mechanical_power_W,overstrain_index
0.0,1.0,0.0,0.04786218514270938,-0.7171371656008056,-0.7643815537685701,0.6665226026760521,1.8091455705336288,-0.8665919123143989,0.43476829403252293,2.065788640953027
0.0,1.0,0.0,0.04786218514270938,0.2390457218669352,-0.3012989958869854,0.2491117610220163,1.0837527072122348,0.20825076962595504,0.27707189114528213,1.0846365518483518
0.0,0.0,1.0,-0.8030211062861103,0.7171371656005339,0.950914043282606,-0.9545846195617137,-0.8243459115244756,1.8205147925358751,-0.6440279548088828,-0.8547662124831835
0.0,1.0,0.0,0.4733038308569983,0.2390457218669352,6.238560801134579,-3.4202207539832252,0.8472115561291715,-0.3291705713439165,-4.1187164501875015,-1.0116755966581497
0.0,1.0,0.0,-2.5047876891439915,-2.1514114968018734,-0.5092136137113704,-0.03239787637256563,-1.2974282136906021,0.745672110596132,-0.2580294617456379,-1.143983310470433
0.0,1.0,0.0,-2.5047876891439915,-1.6733200530682746,-0.6273469192934074,0.01613826800581059,-1.2658893935461937,1.2830934515660035,-0.28322356161519724,-1.115009552003804
0.0,1.0,0.0,0.04786218514270938,0.2390457218669352,-0.9014161882437329,1.229541877465216,0.3425904338186366,0.20825076962595504,1.0102513011764513,0.7821643931015189
0.0,0.0,1.0,0.4733038308569983,-0.7171371656008056,0.9887167010688578,-0.9642918484373891,-0.6193435805858207,-1.4040132532842704,-0.638251529794698,-0.721174631529265
0.0,0.0,1.0,-0.8030211062861103,0.2390457218669352,-0.9533948426998292,1.0936406732057626,-0.8716541417410882,1.2830934515660035,0.7923378892182658,-0.6370639841962005
1.0,0.0,0.0,0.4733038308569983,0.7171371656005339,-0.7643815537685701,1.0548117577030618,0.26374338345761544,0.20825076962595504,0.9249646075439445,0.6248733186952562
0.0,1.0,0.0,-0.8030211062861103,0.7171371656005339,0.005847598626310613,0.8315454935625308,-0.7454988611634545,1.8205147925358751,1.3441997614580359,-0.5345628075370121
0.0,0.0,1.0,0.04786218514270938,0.7171371656005339,-0.41943230146902233,0.8509599513138817,0.13758810287998172,0.7456721105958265,0.9828977070323588,0.4127229483180462
1.0,0.0,0.0,0.04786218514270938,-1.1952286093344042,-0.45250962703199266,0.9771539266976595,-1.3447364439072147,-1.4040132532842704,1.119603470098823,-1.1706669275492807
0.0,1.0,0.0,0.898745476571529,-0.2390457218669352,0.015298263072873566,-0.7798544997995592,-1.0135788323909263,-1.4040132532842704,-0.9249221730371093,-0.964068415081844
0.0,1.0,0.0,0.4733038308569983,-0.7171371656008056,-0.41470696924574085,0.09379609901121226,-1.2343505734017852,-1.4040132532842704,-0.019960769891804904,-1.0841967406045625
0.0,0.0,1.0,0.4733038308569983,1.1952286093344042,0.19013555533428822,-0.8866340174319871,-0.3828024295027575,0.745672110596132,-0.9749104664290926,-0.547505576289171
0.0,0.0,1.0,-0.3775794605718214,0.7171371656005339,-0.6178962548468443,0.5597430850436244,-0.6666518108024334,1.2830934515660035,0.42558822166382676,-0.49625498795957673
0.0,1.0,0.0,0.04786218514270938,0.2390457218669352,-0.24459500920760766,0.8994960956922579,0.6106704050461083,0.20825076962595504,1.2088625667795478,0.9408434319852252
0.0,1.0,0.0,0.898745476571529,1.6733200530680028,1.2155326477863688,-1.3914099189670996,-0.004336587769856249,0.7456721105958265,-1.2137611973617692,-0.45243000958430435
0.0,1.0,0.0,0.4733038308569983,-0.7171371656008056,-0.4288829659155853,0.7441804336814538,-1.2658893935461937,-1.4040132532842704,0.8325151468938479,-1.091587651446948
0.0,1.0,0.0,0.04786218514270938,0.2390457218669352,-0.8163602082246664,1.0645189865787366,0.4056680741074534,0.20825076962595504,0.8875600338751695,0.7871957643322509
1.0,0.0,0.0,0.898745476571529,-0.2390457218669352,-0.49503761704152593,0.39472019415714493,-1.0924258827519473,-1.4040132532842704,0.31400546400520835,-0.9352681521748953
0.0,0.0,1.0,0.4733038308569983,0.7171371656005339,-0.6084455904002813,0.4141346519084957,0.7999033259125589,0.20825076962595504,0.2454704029138361,0.9023968159600455
0.0,1.0,0.0,0.4733038308569983,-1.1952286093344042,-0.05558172027634859,-0.6924894399184819,-0.572035350369208,-1.941434594254142,-0.845020884879365,-0.638556046009452
0.0,0.0,1.0,-2.9302293348582804,-2.1514114968018734,0.0483755886358439,0.2879406765247171,-1.4078140841960316,1.2830934515660035,0.6110381250422946,-1.2399263549737016
0.0,1.0,0.0,0.04786218514270938,0.2390457218669352,-0.8447122015643552,0.5403286272922736,0.37412925396304497,0.20825076962595504,0.20686611020365422,0.540207485571214
0.0,1.0,0.0,0.04786218514270938,-1.1952286093344042,-0.08393371361603745,0.44325633853552115,-0.5404965302247997,-1.4040132532842704,0.7210923517740835,-0.39257404149456165
0.0,0.0,1.0,0.4733038308569983,-0.7171371656008056,0.8800340599333839,-1.2360942569562956,-0.8243459115244756,-1.4040132532842704,-1.1290965802692503,-0.8919983595906001
0.0,1.0,0.0,0.04786218514270938,-0.7171371656008056,-0.6556989126330962,-0.18771353838336965,-1.3762752640516231,-0.8665919123143989,-0.566197292848531,-1.213624428126151
1.0,0.0,0.0,0.04786218514270938,0.7171371656005339,-0.5470162714976222,1.3654430817246692,0.7210562755515378,0.7456721105958265,1.537461168817225,1.2849545250553576
0.0,0.0,1.0,0.04786218514270938,-0.2390457218669352,0.5681621331968064,-1.0031207639400899,1.1468303475010517,-0.32917057134422195,-0.9337823203280974,0.4183442044516915
0.0,1.0,0.0,-2.9302293348582804,-2.1514114968018734,0.08145291419881424,0.2491117610220163,-1.1870423431851727,1.2830934515660035,0.5822804152793699,-1.0339524265211146
1.0,0.0,0.0,-0.8030211062861103,0.2390457218669352,-0.5564669359441852,0.4335491096598458,-0.9505011921021094,1.2830934515660035,0.31387216188949557,-0.794146863930847
1.0,0.0,0.0,0.04786218514270938,0.7171371656005339,-0.7974588793315405,0.8412527224382063,0.4845151244684745,0.7456721105958265,0.6251859229231908,0.7795619597063127
0.0,1.0,0.0,0.04786218514270938,-0.7171371656008056,-0.06503238472291155,-0.7216111265455081,1.5726044194505655,-0.8665919123143989,-0.8915433232628376,0.8849084635442596
0.0,0.0,1.0,0.4733038308569983,-0.7171371656008056,0.653218113215873,-1.080778594945492,1.446449138872932,-1.4040132532842704,-1.0059609725822634,0.5625884127699874
1.0,0.0,0.0,0.04786218514270938,0.7171371656005339,-1.109330806068118,1.423686454978721,-0.6193435805858207,0.7456721105958265,1.0370894604731251,-0.2943755547154475
0.0,0.0,1.0,-0.3775794605718214,-0.2390457218669352,1.4281725978340352,-1.3622882323400738,0.6422092251905167,0.20825076962595504,-1.0626499189906993,-0.07611814063748723
0.0,1.0,0.0,0.04786218514270938,-0.2390457218669352,1.3620179467080946,-1.643797869734656,1.3045244482230938,-0.32917057134422195,-1.5661142364193175,0.12680226596472444
0.0,0.0,1.0,1.32418712228606,2.1514114968018734,-0.9533948426998292,0.8121310358111808,-0.0516448179864689,0.7456721105958265,0.4472542588708759,0.1984212330007992
0.0,1.0,0.0,0.04786218514270938,0.2390457218669352,-0.5800935970605925,0.6276936871733506,0.6895174554071294,0.20825076962595504,0.5462177495754292,0.896810258938336
0.0,1.0,0.0,-2.9302293348582804,-2.1514114968018734,-0.06503238472291155,0.03555272575716135,-1.1555035230407642,1.2830934515660035,0.16692879633635346,-1.0167416670008176
0.0,0.0,1.0,0.898745476571529,1.6733200530680028,0.09562891086865867,-0.24595691163742125,-0.30395537914173637,0.7456721105958265,-0.11390321423787518,-0.33393254232258185
